input,label,source_domain,kind
Please verify your account at amazon.co‍m before it is suspended.,1,amazon.com,body
chase.corn/login,1,chase.com,url
4mazon.com,1,amazon.com,domain
security@amazon.com,0,amazon.com,safe
https://dropbox.com,0,dropbox.com,safe
dropbox.сom/invoice,1,dropbox.com,url
example.co‪m,1,example.com,domain
notice@dropbox.corn,1,dropbox.com,email
Please verify your account at netflix‭.com before it is suspended.,1,netflix.com,body
aclobe.com,1,adobe.com,domain
eхample.com,1,example.com,domain
security@apple.co‪m,1,apple.com,email
ne7flix.com/login,1,netflix.com,url
dropbox.corn,1,dropbox.com,domain
https://www.bankofamerica.com/invoice,0,bankofamerica.com,safe
‫github.com,1,github.com,domain
example.com⁩,1,example.com,domain
docusign.com/login,0,docusign.com,safe
bankofameriсa.com,1,bankofamerica.com,domain
https://rnicrosoft.com/login,1,microsoft.com,url
support@microsoft.com,0,microsoft.com,safe
chase.com,0,chase.com,safe
dropboх.com,1,dropbox.com,domain
billing@wellsf‌argo.com,1,wellsfargo.com,email
Please verify your account at n3tflix.com before it is suspended.,1,netflix.com,body
paypal.com,0,paypal.com,safe
p‮aypal.com,1,paypal.com,domain
microsoft.com,0,microsoft.com,safe
security@github.corn,1,github.com,email
security@example.coμ,1,example.com,email
Open the secure document from github.сom and sign in to continue.,1,github.com,body
support@chase.com,0,chase.com,safe
admin@aμazon.com,1,amazon.com,email
Your payment details must be updated at microsof7.com.,1,microsoft.com,body
chase.corn,1,chase.com,domain
https://google.cоm/login,1,google.com,url
admin@exarnple.com,1,example.com,email
barikofamerica.com,1,bankofamerica.com,domain
https://www.apple.com/security,0,apple.com,safe
Your payment details must be updated at aclobe.com.,1,adobe.com,body
microsоft.com/login,1,microsoft.com,url
google.com‌,1,google.com,domain
updates@netflix.coμ,1,netflix.com,email
help@applе.com,1,apple.com,email
Your payment details must be updated at netflix.corn.,1,netflix.com,body
admin@example.com,0,example.com,safe
updates@chase.corn,1,chase.com,email
help@wellsfargo‭.com,1,wellsfargo.com,email
bankofaμerica.com/invoice,1,bankofamerica.com,url
https://app⁩le.com/security,1,apple.com,url
https://wells‭fargo.com/verify,1,wellsfargo.com,url
help@docusign.com,0,docusign.com,safe
support@github.c‮om,1,github.com,email
google.com,0,google.com,safe
amazοn.com/login,1,amazon.com,url
help@examp‪le.com,1,example.com,email
security@​example.com,1,example.com,email
help@arnazon.com,1,amazon.com,email
https://docusign.corn/security,1,docusign.com,url
google.corn,1,google.com,domain
dropbo⁩x.com,1,dropbox.com,domain
updates@rnicrosoft.com,1,microsoft.com,email
github.com,0,github.com,safe
go0gle.com,1,google.com,domain
‭google.com,1,google.com,domain
docusign.com,0,docusign.com,safe
https://www.microsoft.com‪/login,1,microsoft.com,url
notice@google.com,0,google.com,safe
Please verify your account at paypal.corn before it is suspended.,1,paypal.com,body
https://www.adobe.corn/invoice,1,adobe.com,url
notice@netflix.coμ,1,netflix.com,email
Please verify your account at chase.coμ before it is suspended.,1,chase.com,body
https://www.aclobe.com/invoice,1,adobe.com,url
admin@docusign.сom,1,docusign.com,email
Your payment details must be updated at google.corn.,1,google.com,body
paypal.corn,1,paypal.com,domain
droрbox.com,1,dropbox.com,domain
github.c⁩om,1,github.com,domain
Your payment details must be updated at paypal.сom.,1,paypal.com,body
admin@wellsfargo.corn,1,wellsfargo.com,email
Open the secure document from barikofamerica.com and sign in to continue.,1,bankofamerica.com,body
Your payment details must be updated at netflix.coμ.,1,netflix.com,body
https://www.rnicrosoft.com/verify,1,microsoft.com,url
support@adobe.corn,1,adobe.com,email
https://bankofarnerica.com/invoice,1,bankofamerica.com,url
notice@apple.com,0,apple.com,safe
updates@micros0ft.com,1,microsoft.com,email
https://microsoft.com,0,microsoft.com,safe
Please verify your account at paypal.cоm before it is suspended.,1,paypal.com,body
security@paypal.corn,1,paypal.com,email
https://chase.com/verify,0,chase.com,safe
Your payment details must be updated at paуpal.com.,1,paypal.com,body
Please verify your account at amαzon.com before it is suspended.,1,amazon.com,body
docu⁩sign.com,1,docusign.com,domain
Please verify your account at bankofarnerica.com before it is suspended.,1,bankofamerica.com,body
apple.co‍m,1,apple.com,domain
Open the secure document from chase.c0m and sign in to continue.,1,chase.com,body
https://www.dro‫pbox.com/invoice,1,dropbox.com,url
examрle.com,1,example.com,domain
apple.corn,1,apple.com,domain
https://github.com/invoice,0,github.com,safe
billing@netflix.com,0,netflix.com,safe
updates@adobe.corn,1,adobe.com,email
Please verify your account at aрple.com before it is suspended.,1,apple.com,body
github.corn,1,github.com,domain
billing@docus⁩ign.com,1,docusign.com,email
bankofarnerica.com,1,bankofamerica.com,domain
Your payment details must be updated at payp⁦al.com.,1,paypal.com,body
‪wellsfargo.com,1,wellsfargo.com,domain
apple.corn,1,apple.com,domain
https://www.paypal.com/security,0,paypal.com,safe
payp⁦al.com/security,1,paypal.com,url
https://googl3.com/verify,1,google.com,url
netflix.com,0,netflix.com,safe
Please verify your account at dropbox.corn before it is suspended.,1,dropbox.com,body
4mazon.com/verify,1,amazon.com,url
bankofamerica.com,0,bankofamerica.com,safe
dropbox.com,0,dropbox.com,safe
https://ado‪be.com/security,1,adobe.com,url
support@amazori.com,1,amazon.com,email
Your payment details must be updated at exarnple.com.,1,example.com,body
notice@paypal.corn,1,paypal.com,email
adobe.com,0,adobe.com,safe
https://netflix.com/login,0,netflix.com,safe
https://www.adobe.com/verify,0,adobe.com,safe
amazon.com,0,amazon.com,safe
exampⅼe.com,1,example.com,domain
https://amazon.cоm/invoice,1,amazon.com,url
microsoft.c‪om,1,microsoft.com,domain
Your payment details must be updated at ap‍ple.com.,1,apple.com,body
google.com,0,google.com,safe
Open the secure document from gi7hub.com and sign in to continue.,1,github.com,body
Open the secure document from adobe.corn and sign in to continue.,1,adobe.com,body
example.com/verify,0,example.com,safe
security@github.com,0,github.com,safe
docu⁦sign.com,1,docusign.com,domain
amazon.com,0,amazon.com,safe
https://www.wellsfargo.corn/security,1,wellsfargo.com,url
support@apple.сom,1,apple.com,email
https://docusi‌gn.com/login,1,docusign.com,url
Your payment details must be updated at wells‭fargo.com.,1,wellsfargo.com,body
Please verify your account at google.com﻿ before it is suspended.,1,google.com,body
dоcusign.com,1,docusign.com,domain
drop‭box.com,1,dropbox.com,domain
support@wellsfargo.com,0,wellsfargo.com,safe
Please verify your account at adob﻿e.com before it is suspended.,1,adobe.com,body
https://chase.corn/verify,1,chase.com,url
admin@github.сom,1,github.com,email
security@mi⁨crosoft.com,1,microsoft.com,email
arnazon.com,1,amazon.com,domain
docusign.сom,1,docusign.com,domain
gıthub.com,1,github.com,domain
security@ad‌obe.com,1,adobe.com,email
Please verify your account at barikofamerica.com before it is suspended.,1,bankofamerica.com,body
https://wellsfargo.com/login,0,wellsfargo.com,safe
billing@wellsfargo.сom,1,wellsfargo.com,email
Your payment details must be updated at n3tflix.com.,1,netflix.com,body
updates@bankofamerica.com,0,bankofamerica.com,safe
github.coμ,1,github.com,domain
Open the secure document from rietflix.com and sign in to continue.,1,netflix.com,body
apple.c‫om,1,apple.com,domain
chase.‌com,1,chase.com,domain
apple.com,0,apple.com,safe
wellsfargo.com,0,wellsfargo.com,safe
Your payment details must be updated at barikofamerica.com.,1,bankofamerica.com,body
security@dropbox.com,0,dropbox.com,safe
updates@chas﻿e.com,1,chase.com,email
help@paypal.com,0,paypal.com,safe
https://www.wellsfargo.‌com/security,1,wellsfargo.com,url
updates@chase.corn,1,chase.com,email
security@goo‪gle.com,1,google.com,email
docusign.сom/security,1,docusign.com,url
Please verify your account at bank‭ofamerica.com before it is suspended.,1,bankofamerica.com,body
wellsf‪argo.com,1,wellsfargo.com,domain
updates@‌microsoft.com,1,microsoft.com,email
https://www.drop8ox.com/login,1,dropbox.com,url
example.com,0,example.com,safe
Your payment details must be updated at chase.cоm.,1,chase.com,body
security@net‪flix.com,1,netflix.com,email
doсusign.com/invoice,1,docusign.com,url
google.coμ,1,google.com,domain
help@adobe.com,0,adobe.com,safe
